User_ID,Book_ID,Book_Title,Recommendation_Score
105979,802130208,A Confederacy of Dunces (Evergreen Book),10
105979,156027321,Life of Pi,10
105979,312305060,The Hours: A Novel,10
105979,014028009X,Bridget Jones's Diary,10
106225,312195516,The Red Tent (Bestselling Backlist),10
106225,380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),10
106225,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
106225,425147622,The Body Farm,10
106225,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
107021,385503822,The Summons,10
107021,425115801,Lightning,10
107021,440202043,Shell Seekers,10
107021,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
107021,679781587,,10
107301,64400557,Charlotte's Web (Trophy Newbery),10
107301,044021145X,The Firm,10
107301,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
107301,440226430,Summer Sisters,10
107301,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
107784,446607657,When the Wind Blows,10
107784,385486804,Into the Wild,10
107784,345370775,Jurassic Park,10
107784,684874350,ANGELA'S ASHES,10
107784,312924585,Silence of the Lambs,10
107951,60959037,Prodigal Summer: A Novel,10
107951,64400557,Charlotte's Web (Trophy Newbery),10
107951,439139600,Harry Potter and the Goblet of Fire (Book 4),10
107951,446310786,To Kill a Mockingbird,10
107951,679781587,,10
108285,553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),10
108285,446364193,Along Came a Spider (Alex Cross Novels),10
108285,671041789,The Green Mile,10
108285,312924585,Silence of the Lambs,10
108285,446310786,To Kill a Mockingbird,10
109574,446532231,"Dude, Where's My Country?",10
109574,385504209,The Da Vinci Code,10
109574,151008116,Life of Pi,10
109574,439139600,Harry Potter and the Goblet of Fire (Book 4),10
109574,038549081X,The Handmaid's Tale : A Novel,10
110029,440213290,The Copper Beech,10
110029,044022103X,One True Thing,10
110029,451203771,Scarlet Feather,10
110029,440223202,Evening Class,10
110029,068484267X,Angela's Ashes: A Memoir,10
110912,038079487X,What Looks Like Crazy On An Ordinary Day,10
110912,044651862X,The Celestine Prophecy (Celestine Prophecy),10
110912,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
110912,080411868X,"Welcome to the World, Baby Girl!",10
110912,345417623,Timeline,10
110973,64400557,Charlotte's Web (Trophy Newbery),10
110973,044021145X,The Firm,10
110973,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
110973,553292722,Still Waters,10
110973,380002930,Watership Down,10
111947,449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),10
111947,345391802,The Hitchhiker's Guide to the Galaxy,10
111947,089480829X,What to Expect When You're Expecting (Revised Edition),10
111947,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
111947,380002930,Watership Down,10
112001,60175400,The Poisonwood Bible,10
112001,60199652,Prodigal Summer,10
112001,142001740,The Secret Life of Bees,10
112001,380789035,American Gods,10
112001,038079487X,What Looks Like Crazy On An Ordinary Day,10
112026,60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
112026,425147622,The Body Farm,10
112026,446608955,A Walk to Remember,10
112026,385479565,The Hot Zone,10
112026,439139600,Harry Potter and the Goblet of Fire (Book 4),10
112881,61097101,The Saving Graces: A Novel,10
112881,385722206,Balzac and the Little Chinese Seamstress : A Novel,9.54
112881,440498058,A Wrinkle In Time,9
112881,316666343,The Lovely Bones: A Novel,9
112881,385504209,The Da Vinci Code,9
113270,142001430,Year of Wonders,10
113270,038572179X,Atonement : A Novel,10
113270,142001740,The Secret Life of Bees,10
113270,385504209,The Da Vinci Code,10
113270,671021001,She's Come Undone (Oprah's Book Club),10
113519,385504209,The Da Vinci Code,10
113519,671021001,She's Come Undone (Oprah's Book Club),10
113519,446605239,The Notebook,10
113519,1558743669,"A Child Called \""It\"": One Child's Courage to Survive",10
113519,385505833,Skipping Christmas,10
113983,345413903,The Murder Book,10
113983,380018179,The Thorn Birds,10
113983,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
113983,440202043,Shell Seekers,10
113983,446310786,To Kill a Mockingbird,10
114368,440202043,Shell Seekers,10
114368,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
114368,067976402X,Snow Falling on Cedars,10
114368,006101351X,The Perfect Storm : A True Story of Men Against the Sea,10
114368,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
114414,142001740,The Secret Life of Bees,10
114414,345417623,Timeline,10
114414,446607657,When the Wind Blows,10
114414,812511816,"The Eye of the World (The Wheel of Time, Book 1)",10
114414,345391802,The Hitchhiker's Guide to the Galaxy,10
114868,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
114868,446310786,To Kill a Mockingbird,10
114868,679781587,,10
114868,345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,10
114868,446607657,When the Wind Blows,10
114988,312195516,The Red Tent (Bestselling Backlist),10
114988,316769487,The Catcher in the Rye,10
114988,440206154,Red Dragon,10
114988,440215625,Dragonfly in Amber,10
114988,441172717,Dune (Remembering Tomorrow),10
115003,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
115003,312305060,The Hours: A Novel,10
115003,043935806X,Harry Potter and the Order of the Phoenix (Book 5),10
115003,440998050,A Wrinkle in Time,10
115003,804111359,Secret History,10
115120,64400557,Charlotte's Web (Trophy Newbery),10
115120,067976402X,Snow Falling on Cedars,10
115120,439064872,Harry Potter and the Chamber of Secrets (Book 2),10
115120,451166892,The Pillars of the Earth,10
115120,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
115490,312990456,One for the Money (A Stephanie Plum Novel),10
115490,440414806,Holes (Yearling Newbery),10
115490,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
115490,345339711,"The Two Towers (The Lord of the Rings, Part 2)",10
115490,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
11601,385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,10
11601,679781587,,10
11601,446607657,When the Wind Blows,10
11601,446532231,"Dude, Where's My Country?",10
11601,553296981,Anne Frank: The Diary of a Young Girl,10
116599,440212561,Outlander,10
116599,60175400,The Poisonwood Bible,10
116599,60199652,Prodigal Summer,10
116599,312195516,The Red Tent (Bestselling Backlist),10
116599,316569321,White Oleander : A Novel,10
11676,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
11676,440211727,A Time to Kill,10
11676,446310786,To Kill a Mockingbird,10
11676,671021001,She's Come Undone (Oprah's Book Club),10
11676,142001430,Year of Wonders,10
119575,316666343,The Lovely Bones: A Novel,10
119575,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
119575,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
119575,140298479,Bridget Jones: The Edge of Reason,10
119575,385730586,Sisterhood of the Traveling Pants,10
11993,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
11993,439064864,Harry Potter and the Chamber of Secrets (Book 2),10
11993,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),10
11993,439139597,Harry Potter and the Goblet of Fire (Book 4),10
11993,375727345,House of Sand and Fog,10
120548,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
120548,312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),10
120548,312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),10
120548,014025448X,At Home in Mitford (The Mitford Years),10
120548,446360589,The Burden of Proof,10
122429,345413903,The Murder Book,10
122429,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
122429,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
122429,451524934,1984,10
122429,553296981,Anne Frank: The Diary of a Young Girl,10
122793,679781587,,10
122793,345350499,The Mists of Avalon,10
122793,380002930,Watership Down,10
122793,553296981,Anne Frank: The Diary of a Young Girl,10
122793,812550706,Ender's Game (Ender Wiggins Saga (Paperback)),10
122881,380002930,Watership Down,10
122881,345413903,The Murder Book,10
122881,449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),10
122881,156027321,Life of Pi,10
122881,446608890,Saving Faith,10
123883,440211727,A Time to Kill,10
123883,380018179,The Thorn Birds,10
123883,553571885,A Thin Dark Line (Mysteries & Horror),10
123883,671041789,The Green Mile,10
123883,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
123981,385504209,The Da Vinci Code,10
123981,312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),10
123981,671004573,Before I Say Good-Bye,10
123981,439139600,Harry Potter and the Goblet of Fire (Book 4),10
123981,671568175,Let Me Call You Sweetheart,10
124487,60175400,The Poisonwood Bible,10
124487,60199652,Prodigal Summer,10
124487,312195516,The Red Tent (Bestselling Backlist),10
124487,316569321,White Oleander : A Novel,10
124487,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
124942,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
124942,64400557,Charlotte's Web (Trophy Newbery),10
124942,375727345,House of Sand and Fog,10
124942,380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),10
124942,385497466,The Brethren,10
125039,805063897,Nickel and Dimed: On (Not) Getting By in America,10
125039,156027321,Life of Pi,9
125039,553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),9
125039,786817070,"Artemis Fowl (Artemis Fowl, Book 1)",9
125039,451524934,1984,9
12538,446310786,To Kill a Mockingbird,10
12538,345417623,Timeline,10
12538,440998050,A Wrinkle in Time,10
12538,345465083,Seabiscuit,10
12538,802130208,A Confederacy of Dunces (Evergreen Book),10
125692,380018179,The Thorn Birds,10
125692,451184963,Insomnia,10
125692,385505833,Skipping Christmas,10
125692,345417623,Timeline,10
125692,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
125774,380018179,The Thorn Birds,10
125774,64400557,Charlotte's Web (Trophy Newbery),10
125774,515128554,Heart of the Sea (Irish Trilogy),10
125774,553250531,The Valley of Horses,10
125774,440202043,Shell Seekers,10
126736,64400557,Charlotte's Web (Trophy Newbery),10
126736,067976402X,Snow Falling on Cedars,10
126736,006101351X,The Perfect Storm : A True Story of Men Against the Sea,10
126736,440226430,Summer Sisters,10
126736,446607657,When the Wind Blows,10
127200,449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),10
127200,345350499,The Mists of Avalon,10
127200,439064864,Harry Potter and the Chamber of Secrets (Book 2),10
127200,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),10
127200,439139597,Harry Potter and the Goblet of Fire (Book 4),10
127233,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
127233,440222656,The Horse Whisperer,10
127233,446310786,To Kill a Mockingbird,10
127233,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),10
127233,345337662,Interview with the Vampire,10
127359,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),10
127359,375727345,House of Sand and Fog,10
127359,440214041,The Pelican Brief,10
127359,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
127359,156027321,Life of Pi,10
128835,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
128835,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
128835,451160525,"The Gunslinger (The Dark Tower, Book 1)",10
128835,385504209,The Da Vinci Code,10
128835,671041789,The Green Mile,10
129074,60959037,Prodigal Summer: A Novel,10
129074,380002930,Watership Down,10
129074,439139600,Harry Potter and the Goblet of Fire (Book 4),10
129074,446679593,Suzanne's Diary for Nicholas,10
129074,679781587,,10
129358,380018179,The Thorn Birds,10
129358,440236673,The Brethren,10
129358,553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),10
129358,440211727,A Time to Kill,10
129358,385505833,Skipping Christmas,10
129716,440222656,The Horse Whisperer,10
129716,60938455,Fast Food Nation: The Dark Side of the All-American Meal,10
129716,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
129716,451166892,The Pillars of the Earth,10
129716,345350499,The Mists of Avalon,10
129851,440236673,The Brethren,10
129851,451169530,The Stand: Complete and Uncut,10
129851,440221471,The Runaway Jury,10
129851,043935806X,Harry Potter and the Order of the Phoenix (Book 5),10
129851,446612790,2nd Chance,10
130474,440202043,Shell Seekers,10
130474,142001740,The Secret Life of Bees,10
130474,671021001,She's Come Undone (Oprah's Book Club),10
130474,679781587,,10
130474,671004573,Before I Say Good-Bye,10
130571,044022103X,One True Thing,10
130571,385720106,A Map of the World,10
130571,553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),10
130571,553250531,The Valley of Horses,10
130571,446310786,To Kill a Mockingbird,10
131046,385503822,The Summons,10
131046,425115801,Lightning,10
131046,671027360,Angels & Demons,10
131046,679781587,,10
131046,842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),10
131402,375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),10
131402,440222656,The Horse Whisperer,10
131402,345465083,Seabiscuit,10
131402,802130208,A Confederacy of Dunces (Evergreen Book),10
131402,60938455,Fast Food Nation: The Dark Side of the All-American Meal,10
131855,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
131855,380002930,Watership Down,10
131855,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
131855,441003257,Good Omens,10
131855,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
13273,316781266,The Last Time They Met : A Novel,10
13273,440211727,A Time to Kill,10
13273,051513628X,Key of Light (Key Trilogy (Paperback)),10
13273,446608890,Saving Faith,10
13273,671003755,She's Come Undone (Oprah's Book Club (Paperback)),10
133747,671021001,She's Come Undone (Oprah's Book Club),10
133747,786868716,The Five People You Meet in Heaven,10
133747,312924585,Silence of the Lambs,10
133747,446606812,Message in a Bottle,10
133747,345361792,A Prayer for Owen Meany,10
135045,345384466,The Witching Hour (Lives of the Mayfair Witches),10
135045,553574574,Beach Music,10
135045,671003755,She's Come Undone (Oprah's Book Club (Paperback)),10
135045,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
135045,70212570,Fried Green Tomatoes at the Whistle Stop Cafe,10
135149,316569321,White Oleander : A Novel,10
135149,385335482,Confessions of a Shopaholic (Summer Display Opportunity),10
135149,425158616,Cause of Death,10
135149,044651862X,The Celestine Prophecy (Celestine Prophecy),10
135149,452282829,We Were the Mulvaneys,10
135265,425124347,The Bad Place,10
135265,451160525,"The Gunslinger (The Dark Tower, Book 1)",10
135265,553250531,The Valley of Horses,10
135265,452264464,Beloved (Plume Contemporary Fiction),10
135265,842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),10
13552,60175400,The Poisonwood Bible,10
13552,60199652,Prodigal Summer,10
13552,312195516,The Red Tent (Bestselling Backlist),10
13552,316569321,White Oleander : A Novel,10
13552,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
136010,425124347,The Bad Place,10
136010,380789035,American Gods,10
136010,312924585,Silence of the Lambs,10
136010,451160525,"The Gunslinger (The Dark Tower, Book 1)",10
136010,446364193,Along Came a Spider (Alex Cross Novels),10
136205,375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),10
136205,316769487,The Catcher in the Rye,10
136205,446607657,When the Wind Blows,10
136205,60915544,The Bean Trees,10
136205,385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",10
136252,60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
136252,043935806X,Harry Potter and the Order of the Phoenix (Book 5),10
136252,452264464,Beloved (Plume Contemporary Fiction),10
136252,679781587,,10
136252,451524934,1984,10
136382,449212602,The Handmaid's Tale,10
136382,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
136382,051513287X,Face the Fire (Three Sisters Island Trilogy),10
136382,553296981,Anne Frank: The Diary of a Young Girl,10
136382,671727796,The Color Purple,10
138441,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),10
138441,451176464,Gerald's Game,10
138441,609804138,The Sweet Potato Queens' Book of Love,10
138441,60938455,Fast Food Nation: The Dark Side of the All-American Meal,10
138441,60915544,The Bean Trees,10
138844,449212602,The Handmaid's Tale,10
138844,60175400,The Poisonwood Bible,10
138844,60199652,Prodigal Summer,10
138844,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
138844,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
140000,451184963,Insomnia,10
140000,440224675,Hannibal,10
140000,60938455,Fast Food Nation: The Dark Side of the All-American Meal,10
140000,380018179,The Thorn Birds,10
140000,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
141493,425163407,Unnatural Exposure,10
141493,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
141493,61009059,One for the Money (Stephanie Plum Novels (Paperback)),10
141493,345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,10
141493,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
142524,425169863,Point of Origin,10
142524,451169530,The Stand: Complete and Uncut,10
142524,067976402X,Snow Falling on Cedars,10
142524,316769487,The Catcher in the Rye,10
142524,440414806,Holes (Yearling Newbery),10
143175,380018179,The Thorn Birds,10
143175,425107469,Watchers,10
143175,451203771,Scarlet Feather,10
143175,312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),10
143175,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
143253,380018179,The Thorn Birds,10
143253,312195516,The Red Tent (Bestselling Backlist),10
143253,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
143253,385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),10
143253,446364193,Along Came a Spider (Alex Cross Novels),10
143415,449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),10
143415,345427637,The Angel of Darkness,10
143415,385504209,The Da Vinci Code,9.14
143415,375727345,House of Sand and Fog,9
143415,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),9
14422,553564528,Guilty as Sin,10
14422,312980140,Seven Up (A Stephanie Plum Novel),10
14422,64400557,Charlotte's Web (Trophy Newbery),10
14422,312195516,The Red Tent (Bestselling Backlist),10
14422,440202043,Shell Seekers,10
144531,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
144531,64400557,Charlotte's Web (Trophy Newbery),10
144531,316781266,The Last Time They Met : A Novel,10
144531,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
144531,044021145X,The Firm,10
14521,446310786,To Kill a Mockingbird,10
14521,671021001,She's Come Undone (Oprah's Book Club),10
14521,080411868X,"Welcome to the World, Baby Girl!",10
14521,70212570,Fried Green Tomatoes at the Whistle Stop Cafe,10
14521,553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),10
145449,375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),10
145449,345465083,Seabiscuit,10
145449,802130208,A Confederacy of Dunces (Evergreen Book),10
145449,60938455,Fast Food Nation: The Dark Side of the All-American Meal,10
145449,345427637,The Angel of Darkness,10
145451,142001740,The Secret Life of Bees,10
145451,375707972,The Reader,10
145451,385504209,The Da Vinci Code,10
145451,440202043,Shell Seekers,10
145451,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
145619,60175400,The Poisonwood Bible,10
145619,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
145619,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
145619,385722206,Balzac and the Little Chinese Seamstress : A Novel,10
145619,038079487X,What Looks Like Crazy On An Ordinary Day,10
146113,440202043,Shell Seekers,10
146113,446310786,To Kill a Mockingbird,10
146113,679781587,,10
146113,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
146113,439139600,Harry Potter and the Goblet of Fire (Book 4),10
146348,043935806X,Harry Potter and the Order of the Phoenix (Book 5),10
146348,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
146348,440202043,Shell Seekers,10
146348,446608955,A Walk to Remember,10
146348,671041789,The Green Mile,10
147451,375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),10
147451,446364193,Along Came a Spider (Alex Cross Novels),10
147451,60915544,The Bean Trees,10
147451,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,10
147451,446605239,The Notebook,10
147847,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
147847,440202043,Shell Seekers,10
147847,451166892,The Pillars of the Earth,10
147847,60502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
147847,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
147965,64400557,Charlotte's Web (Trophy Newbery),10
147965,60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
147965,316666343,The Lovely Bones: A Novel,10
147965,316781266,The Last Time They Met : A Novel,10
147965,385722206,Balzac and the Little Chinese Seamstress : A Novel,10
148258,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),10
148258,345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",10
148258,345350499,The Mists of Avalon,10
148258,64400557,Charlotte's Web (Trophy Newbery),10
148258,385265700,The Book of Ruth (Oprah's Book Club (Paperback)),10
148744,671042858,The Girl Who Loved Tom Gordon,10
148744,312195516,The Red Tent (Bestselling Backlist),10
148744,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
148744,842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),10
148744,61009059,One for the Money (Stephanie Plum Novels (Paperback)),10
149907,60175400,The Poisonwood Bible,10
149907,60199652,Prodigal Summer,10
149907,312195516,The Red Tent (Bestselling Backlist),10
149907,316569321,White Oleander : A Novel,10
149907,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
149908,385722206,Balzac and the Little Chinese Seamstress : A Novel,10
149908,316569321,White Oleander : A Novel,10
149908,440219078,The Giver (21st Century Reference),10
149908,440235596,Tara Road,10
149908,385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",10
150124,345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",10
150124,345339738,"The Return of the King (The Lord of the Rings, Part 3)",10
150124,345387651,The Cider House Rules,10
150124,446360589,The Burden of Proof,10
150124,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
150968,380018179,The Thorn Birds,10
150968,375703055,Ellen Foster,10
150968,385730586,Sisterhood of the Traveling Pants,10
150968,385479565,The Hot Zone,10
150968,440211263,Circle of Friends,10
150979,312305060,The Hours: A Novel,10
150979,446608955,A Walk to Remember,10
150979,142001430,Year of Wonders,10
150979,385486804,Into the Wild,10
150979,043935806X,Harry Potter and the Order of the Phoenix (Book 5),10
153662,60175400,The Poisonwood Bible,10
153662,60199652,Prodigal Summer,10
153662,316569321,White Oleander : A Novel,10
153662,385335482,Confessions of a Shopaholic (Summer Display Opportunity),10
153662,425158616,Cause of Death,10
15408,385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,10
15408,451169530,The Stand: Complete and Uncut,10
15408,446310786,To Kill a Mockingbird,10
15408,805063897,Nickel and Dimed: On (Not) Getting By in America,10
15408,345339711,"The Two Towers (The Lord of the Rings, Part 2)",10
155147,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),10
155147,399501487,Lord of the Flies,10
155147,440222656,The Horse Whisperer,10
155147,446608955,A Walk to Remember,10
155147,671027360,Angels & Demons,10
156150,64400557,Charlotte's Web (Trophy Newbery),10
156150,142000205,Icy Sparks,10
156150,385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",10
156150,312195516,The Red Tent (Bestselling Backlist),10
156150,316569321,White Oleander : A Novel,10
156269,044023722X,A Painted House,10
156269,425182908,Isle of Dogs,10
156269,446609404,Cradle and All,10
156269,671727796,The Color Purple,10
156269,312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),10
157247,312195516,The Red Tent (Bestselling Backlist),10
157247,385479565,The Hot Zone,10
157247,871136791,Cold Mountain,10
157247,553268880,The Prince of Tides,10
157247,553561618,Dark Paradise,10
157273,316096199,Lucky : A Memoir,10
157273,553296981,Anne Frank: The Diary of a Young Girl,10
157273,679744398,"All the Pretty Horses (The Border Trilogy, Vol 1)",10
157273,345378482,The Andromeda Strain,10
157273,449005615,Seabiscuit: An American Legend,10
158295,60175400,The Poisonwood Bible,10
158295,60199652,Prodigal Summer,10
